Media ID;AOI ID;User ID;User Gender;Time to 1st View (sec);Time Viewed (sec);Time Viewed (%);Fixations (#);Revisits (#);Group
0;0;3;Female;6.961;0.0;0.0;0;0;ASD
0;0;4;Female;6.961;0.0;0.0;0;0;ASD
0;0;5;Male;6.961;0.0;0.0;0;0;ASD
0;0;6;Female;6.961;0.0;0.0;0;0;ASD
0;0;7;Male;6.961;0.0;0.0;0;0;ASD
0;0;8;Male;6.961;0.0;0.0;0;0;ASD
0;0;9;Female;6.961;0.0;0.0;0;0;ASD
0;0;11;Male;27.125;16.0;13.0;1;0;ASD
0;0;12;Male;6.961;0.0;0.0;0;0;ASD
0;0;13;Female;6.961;0.0;0.0;0;0;ASD
0;0;14;Female;6.961;0.0;0.0;0;0;ASD
0;0;15;Male;6.961;0.0;0.0;0;0;ASD
0;0;16;Male;6.961;0.0;0.0;0;0;ASD
0;0;17;Male;6.961;0.0;0.0;0;0;ASD
0;0;18;Male;6.961;0.0;0.0;0;0;ASD
0;1;3;Female;3.45;224.0;187.0;3;2;ASD
0;1;4;Female;766.0;448.0;373.0;7;7;ASD
0;1;5;Male;4.625;48.0;0.04;1;0;ASD
0;1;6;Female;3.171;1.408;1.173;11;10;ASD
0;1;7;Male;5.109;768.0;0.64;7;6;ASD
0;1;8;Male;9.609;48.0;0.04;1;1;ASD
0;1;9;Female;22.883;368.0;307.0;3;2;ASD
0;1;11;Male;156.0;1.168;973.0;18;18;ASD
0;1;12;Male;10.906;1.712;1.427;6;5;ASD
0;1;13;Female;6.961;0.0;0.0;0;0;ASD
0;1;14;Female;313.0;704.0;587.0;7;7;ASD
0;1;15;Male;12.875;128.0;107.0;1;1;ASD
0;1;16;Male;1.25;528.0;0.44;3;2;ASD
0;1;17;Male;6.961;0.0;0.0;0;0;ASD
0;1;18;Male;8.05;672.0;0.56;3;3;ASD
0;2;3;Female;0.0;496.0;413.0;4;3;ASD
0;2;4;Female;32.891;1.088;907.0;5;3;ASD
0;2;5;Male;719.0;576.0;0.48;3;2;ASD
0;2;6;Female;427.0;2.624;2.187;11;6;ASD
0;2;7;Male;0.0;2.576;2.147;9;3;ASD
0;2;8;Male;445.0;1.616;1.347;6;1;ASD
0;2;9;Female;623.0;10.096;8.413;52;27;ASD
0;2;11;Male;813.0;2.544;2.12;21;17;ASD
0;2;12;Male;469.0;5.824;4.853;19;7;ASD
0;2;13;Female;406.0;0.88;733.0;5;3;ASD
0;2;14;Female;688.0;1.632;1.36;11;10;ASD
0;2;15;Male;0.5;2.432;2.027;10;5;ASD
0;2;16;Male;625.0;1.216;1.013;4;2;ASD
0;2;17;Male;6.961;0.0;0.0;0;0;ASD
0;2;18;Male;0.46;1.056;0.88;6;2;ASD
0;3;3;Female;6.961;0.0;0.0;0;0;ASD
0;3;4;Female;78.406;592.0;493.0;5;1;ASD
0;3;5;Male;6.961;0.0;0.0;0;0;ASD
0;3;6;Female;0.0;832.0;693.0;3;1;ASD
0;3;7;Male;3.962;288.0;0.24;2;1;ASD
0;3;8;Male;4.156;416.0;347.0;2;0;ASD
0;3;9;Female;37.406;544.0;453.0;2;0;ASD
0;3;11;Male;2.906;592.0;493.0;6;6;ASD
0;3;12;Male;5.156;1.008;0.84;3;1;ASD
0;3;13;Female;6.961;0.0;0.0;0;0;ASD
0;3;14;Female;3.688;16.0;13.0;1;0;ASD
0;3;15;Male;3.25;0.08;67.0;1;1;ASD
0;3;16;Male;6.961;0.0;0.0;0;0;ASD
